v0046	Siphoviridae,Bacillota,Streptococcus anginosus_C
v0047	Siphoviridae,-,-
v0048	Quimbyviridae,Bacteroidota,Prevotella melaninogenica
v0049	Unclassified,-,-
v004a	Unclassified,-,-
v004b	Siphoviridae,Bacillota_C,Veillonella atypica
v004c	Myoviridae,-,-
v004d	Siphoviridae,-,-
v004e	Unclassified,-,-
v004f	Unclassified,-,-
v0050	Unclassified,Bacteroidota,Prevotella bivia, Prevotella melaninogenica_A
v0051	Unclassified,-,-
v0052	Unclassified,-,-
v0053	Siphoviridae,Bacillota,Bulleidia moorei
v0054	Siphoviridae,Bacillota_C,Veillonella atypica
v0055	Siphoviridae,-,-
v0056	Siphoviridae,-,-
v0057	Siphoviridae,-,-
v0058	Siphoviridae,-,-
v0059	Myoviridae,-,-
v005a	Siphoviridae,-,-
v005b	Siphoviridae,-,-
v005c	Siphoviridae,Actinomycetota,Pauljensenia sp000278725
v005d	Siphoviridae,-,-
v005e	Unclassified,-,-
v005f	Siphoviridae,-,-
v0060	Unclassified,-,-
v0061	Unclassified,-,-
v0062	Myoviridae,Fusobacteriota,Fusobacterium animalis, Fusobacterium nucleatum
v0063	Unclassified,-,-
v0064	Myoviridae,-,-
v0065	Unclassified,Bacillota_C,Veillonella atypica
v0066	Siphoviridae,Bacillota_C,Anaeroglobus micronuciformis
v0067	Unclassified,Bacteroidota,Prevotella timonensis_A
v0068	Myoviridae,-,-
v0069	Siphoviridae,-,-
v006a	Siphoviridae,-,-
v006b	Siphoviridae,-,-
v006c	Siphoviridae,-,-
v006d	Unclassified,-,-
v006e	Siphoviridae,-,-
v006f	Unclassified,-,-
v0070	Siphoviridae,-,-
v0071	Unclassified,-,-
v0072	Siphoviridae,-,-
v0073	Siphoviridae,-,-
v0074	Siphoviridae,-,-
v0075	Myoviridae,-,-
v0076	Unclassified,-,-
v0077	Siphoviridae,-,-
v0078	Siphoviridae,-,-
v0079	Siphoviridae,-,-
v007a	Unclassified,-,-
v007b	Myoviridae,Bacillota,Aerococcus christensenii
v007c	Unclassified,Bacillota_C,Veillonella parvula_A
v007d	Unclassified,Bacillota,Streptococcus mitis_BF
v007e	Siphoviridae,Bacillota,Streptococcus anginosus_C, Streptococcus oralis_S, Streptococcus unknown
v007f	Siphoviridae,-,-
v0080	Siphoviridae,-,-
v0081	Myoviridae,Bacillota_C,Dialister sp900541485, Veillonella parvula_A
v0082	Siphoviridae,-,-
v0083	Siphoviridae,-,-
v0084	Myoviridae,Pseudomonadota,Haemophilus_D parainfluenzae_N, Haemophilus haemolyticus
v0085	Papillomaviridae,Eukaryote,Eukaryote
v0086	Siphoviridae,Actinomycetota, Bacillota, Bacillota_A,Bifidobacterium leopoldii, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H, Fannyhessea massiliensis, Fannyhessea vaginae, Lactobacillus iners, UBA629_sp005465875
v0087	Siphoviridae,Actinomycetota, Bacteroidota, Fusobacteriota,Berryella sp001552935, Fannyhessea massiliensis, Fannyhessea unknown, Fannyhessea vaginae, Prevotella amnii, Prevotella timonensis_A, Sneathia vaginalis
v0088	Siphoviridae,Actinomycetota,Berryella sp001552935
v0089	Unclassified,Actinomycetota,Bifidobacterium swidsinskii, Bifidobacterium vaginale
v008a	Papillomaviridae,Eukaryote,Eukaryote
v008b	Siphoviridae,Actinomycetota, Bacteroidota,Bifidobacterium piotii, Bifidobacterium sp003585735, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_B, Bifidobacterium vaginale_C, Bifidobacterium vaginale_D, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H, Prevotella timonensis_A
v008c	Myoviridae,Bacillota_C,Megasphaera lornae
v008d	Myoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus mulieris
v008e	Siphoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus gasseri
v008f	Flandersviridae,-,-
v0090	Rountreeviridae,Bacillota,Lactobacillus crispatus, Lactobacillus jensenii
v0091	Siphoviridae,Bacillota,Lactobacillus crispatus
v0092	Myoviridae,Bacillota,Lactobacillus crispatus
v0093	Siphoviridae,Actinomycetota, Bacteroidota,Bifidobacterium leopoldii, Bifidobacterium piotii, Bifidobacterium sp003585735, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_D, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H, Prevotella timonensis_A
v0094	Unclassified,Actinomycetota,Bifidobacterium piotii, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H
v0095	Unclassified,Actinomycetota,Atopobium minutum
v0096	Siphoviridae,Bacillota_C,Anaeroglobus vaginalis
v0097	Siphoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus jensenii, Lactobacillus mulieris
v0098	Siphoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus jensenii, Lactobacillus mulieris
v0099	Papillomaviridae,Eukaryote,Eukaryote
v009a	Siphoviridae,Bacillota,Lactobacillus crispatus, Lactobacillus jensenii
v009b	Siphoviridae,Bacillota,Bulleidia unknown
v009c	Unclassified,Actinomycetota,Fannyhessea massiliensis
v009d	Siphoviridae,Bacillota_A,UBA629_sp005465875
v009e	Myoviridae,-,-
v009f	Siphoviridae,Bacillota_A,Stomatobaculum naviforme, Stomatobaculum sp002892395
v00a0	Unclassified,Bacillota, Bacillota_A,Bulleidia unknown, UBA629_sp005465875
v00a1	Siphoviridae,Actinomycetota, Bacillota, Bacillota_A,Bifidobacterium leopoldii, Bifidobacterium piotii, Bifidobacterium swidsinskii, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_C, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H, Fannyhessea massiliensis, Fannyhessea vaginae, Lactobacillus iners, UBA629_sp005465875
v00a2	Siphoviridae,Bacillota,Lactobacillus crispatus
v00a3	Unclassified,-,-
v00a4	Siphoviridae,Bacillota,Lactobacillus crispatus
v00a5	Papillomaviridae,Eukaryote,Eukaryote
v00a6	Papillomaviridae,Eukaryote,Eukaryote
v00a7	Papillomaviridae,Eukaryote,Eukaryote
v00a8	Siphoviridae,-,-
v00a9	Siphoviridae,Bacillota,Enterococcus_B faecium
v00aa	Siphoviridae,Bacillota,Limosilactobacillus portuensis
v00ab	Siphoviridae,Actinomycetota,Bifidobacterium piotii, Bifidobacterium sp003585735, Bifidobacterium unknown, Bifidobacterium vaginale, Bifidobacterium vaginale_A, Bifidobacterium vaginale_D, Bifidobacterium vaginale_F, Bifidobacterium vaginale_H
